AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountType,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,Tags,x_ResourceGroupName
us-east-1-a,117.97,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,117.97,5.000000,117.97,INV-AWS-202608,AWS,117.97,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,85.03,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-07-23 23:59:59,2026-07-23 00:00:00,,,,,24,Hours,85.03,3.542000,85.03,INV-ORA-202608,Oracle,85.03,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,138.21,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,138.21,5.927000,138.21,INV-GOO-202608,Google,138.21,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,279.36,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,279.36,11.854000,279.36,INV-GOO-202608,Google,279.36,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,35.82,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,35.82,1.479000,35.82,INV-GOO-202608,Google,35.82,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,46.12,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,2300,GB-Mo,46.12,0.020000,46.12,INV-GOO-202608,Google,46.12,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,93.41,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,93.41,3.958000,93.41,INV-GOO-202608,Google,93.41,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,180.96,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,180.96,7.500000,180.96,INV-MIC-202608,Microsoft,180.96,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,366.68,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,366.68,15.000000,366.68,INV-MIC-202608,Microsoft,366.68,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,53.37,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,53.37,2.292000,53.37,INV-MIC-202608,Microsoft,53.37,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,213.85,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,213.85,8.750000,213.85,INV-AWS-202608,AWS,213.85,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,65.77,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,2826,GB-Mo,65.77,0.023000,65.77,INV-AWS-202608,AWS,65.77,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,118.85,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,118.85,5.000000,118.85,INV-AWS-202608,AWS,118.85,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,83.24,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-07-24 23:59:59,2026-07-24 00:00:00,,,,,24,Hours,83.24,3.542000,83.24,INV-ORA-202608,Oracle,83.24,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,146.15,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,146.15,5.927000,146.15,INV-GOO-202608,Google,146.15,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,281.71,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,281.71,11.854000,281.71,INV-GOO-202608,Google,281.71,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,34.63,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,34.63,1.479000,34.63,INV-GOO-202608,Google,34.63,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,44.89,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,2300,GB-Mo,44.89,0.020000,44.89,INV-GOO-202608,Google,44.89,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,96.98,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud SQL usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,96.98,3.958000,96.98,INV-GOO-202608,Google,96.98,3.958000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/instances/analytics-db-01,analytics-db-01,sql/database,Database,Cloud SQL,SKU-GCP-SQL-01,SKUP-SKU-GCP-SQL-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
eastus-a,181.12,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,181.12,7.500000,181.12,INV-MIC-202608,Microsoft,181.12,7.500000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm1,core-app-vm1,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-D4S,SKUP-SKU-AZ-D4S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,366.63,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,Virtual Machines usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,366.63,15.000000,366.63,INV-MIC-202608,Microsoft,366.63,15.000000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Compute/virtualMachines/core-app-vm2,core-app-vm2,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,SKU-AZ-E8S,SKUP-SKU-AZ-E8S,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
eastus-a,55.76,BA-AZ-002,Enterprise Microsoft,USD,2026-08-31,2026-08-01,Usage,,SQL Database usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,55.76,2.292000,55.76,INV-MIC-202608,Microsoft,55.76,2.292000,OnDemand,24,Hours,Microsoft,Microsoft,eastus,eastus,/subscriptions/sub-az-core-services/resourceGroups/rg-core-services/providers/Microsoft.Sql/servers/sql-core/databases/db-core,db-core,Microsoft.Sql/servers/databases,Database,SQL Database,SKU-AZ-SQL-GP,SKUP-SKU-AZ-SQL-GP,sub-az-core-services,core-services,"{""team"": ""core-services"", ""provider"": ""Microsoft"", ""env"": ""prod""}",rg-core-services
us-east-1-a,210.46,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Elastic Compute Cloud usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,210.46,8.750000,210.46,INV-AWS-202608,AWS,210.46,8.750000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8,marketing-worker-01,AWS::EC2::Instance,Compute,Amazon Elastic Compute Cloud,SKU-AWS-M5-2XL,SKUP-SKU-AWS-M5-2XL,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,66.85,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Simple Storage Service usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,2826,GB-Mo,66.85,0.023000,66.85,INV-AWS-202608,AWS,66.85,0.023000,OnDemand,2826,GB-Mo,AWS,AWS,us-east-1,us-east-1,arn:aws:s3:::marketing-assets-prod,marketing-assets-prod,AWS::S3::Bucket,Storage,Amazon Simple Storage Service,SKU-AWS-S3-STD,SKUP-SKU-AWS-S3-STD,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-east-1-a,119.13,BA-AWS-003,Enterprise AWS,USD,2026-08-31,2026-08-01,Usage,,Amazon Relational Database Service usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,119.13,5.000000,119.13,INV-AWS-202608,AWS,119.13,5.000000,OnDemand,24,Hours,AWS,AWS,us-east-1,us-east-1,arn:aws:rds:us-east-1:123456789012:db:marketing-db,marketing-db,AWS::RDS::DBInstance,Database,Amazon Relational Database Service,SKU-AWS-RDS-M5L,SKUP-SKU-AWS-RDS-M5L,sub-aws-marketing,marketing-ai,"{""team"": ""marketing-ai"", ""provider"": ""AWS"", ""env"": ""prod""}",rg-marketing-prod
us-ashburn-1-a,85.27,BA-OCI-004,Enterprise Oracle,USD,2026-08-31,2026-08-01,Usage,,OCI Compute usage,Usage,2026-07-25 23:59:59,2026-07-25 00:00:00,,,,,24,Hours,85.27,3.542000,85.27,INV-ORA-202608,Oracle,85.27,3.542000,OnDemand,24,Hours,Oracle,Oracle,us-ashburn-1,us-ashburn-1,ocid1.instance.oc1.iad.anuwcljrn7x01,oci-worker-01,oci:compute:instance,Compute,OCI Compute,SKU-OCI-E4-FLEX,SKUP-SKU-OCI-E4-FLEX,sub-oci-dw,data-platform,"{""team"": ""data-platform"", ""provider"": ""Oracle"", ""env"": ""prod""}",rg-oci-dw
us-central1-a,145.06,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-26 23:59:59,2026-07-26 00:00:00,,,,,24,Hours,145.06,5.927000,145.06,INV-GOO-202608,Google,145.06,5.927000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-01,analytics-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-N2-01,SKUP-SKU-GCP-N2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,286.52,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-26 23:59:59,2026-07-26 00:00:00,,,,,24,Hours,286.52,11.854000,286.52,INV-GOO-202608,Google,286.52,11.854000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-a/instances/analytics-worker-02,analytics-worker-02,compute/instance,Compute,Compute Engine,SKU-GCP-E16-01,SKUP-SKU-GCP-E16-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,36.27,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Compute Engine usage,Usage,2026-07-26 23:59:59,2026-07-26 00:00:00,,,,,24,Hours,36.27,1.479000,36.27,INV-GOO-202608,Google,36.27,1.479000,OnDemand,24,Hours,Google,Google,us-central1,us-central1,projects/prod-analytics/zones/us-central1-b/instances/batch-worker-01,batch-worker-01,compute/instance,Compute,Compute Engine,SKU-GCP-D2-01,SKUP-SKU-GCP-D2-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
us-central1-a,46.21,BA-GCP-001,Enterprise Google,USD,2026-08-31,2026-08-01,Usage,,Cloud Storage usage,Usage,2026-07-26 23:59:59,2026-07-26 00:00:00,,,,,2300,GB-Mo,46.21,0.020000,46.21,INV-GOO-202608,Google,46.21,0.020000,OnDemand,2300,GB-Mo,Google,Google,us-central1,us-central1,projects/prod-analytics/buckets/analytics-lakehouse,analytics-lakehouse,storage/bucket,Storage,Cloud Storage,SKU-GCP-GCS-01,SKUP-SKU-GCP-GCS-01,sub-gcp-data-platform,data-platform,"{""team"": ""data-platform"", ""provider"": ""Google"", ""env"": ""prod""}",prod-analytics
